A,B
51,0.10551682552076647
92,0.24321494216145978
14,0.7798812944685589
71,0.46368645827125554
60,0.45706781728705737
20,0.5459117959561344
82,0.4338058885092322
86,0.8061359310614362
74,0.7487051978887123
74,0.3170042168611793
87,0.8120811131217027
99,0.5186064301279183
23,0.6277368332366271
2,0.8661758318928157
21,0.47599324924540565
52,0.7562603625528578
1,0.6280873591050443
87,0.42674494129754936
29,0.7890483663779525
37,0.10515911787021925
1,0.581220217308148
63,0.04641075737245548
59,0.1561691277546733
20,0.5988736374111326
32,0.30760669659944995
75,0.26247498874634556
57,0.9558386920694534
21,0.36590562288877293
88,0.5647414702258063
48,0.5342487712778687
90,0.062018423137983336
58,0.6742757383605031
41,0.512901319670872
91,0.3814171167982614
59,0.06601681606626042
79,0.2930139849867145
14,0.8840953758059993
61,0.1737113733074691
61,0.2193336397516209
46,0.2052940310697714
61,0.8908048192568335
50,0.6999954827183268
54,0.8818430630548021
63,0.9137464998768331
2,0.9279675351598897
50,0.48571561283404463
6,0.4762238510585629
20,0.8289228402567668
72,0.33192667415197996
38,0.022211129519923656
17,0.3315477170153205
3,0.716350330405344
88,0.12361405161206929
59,0.7847808578989094
13,0.815474317446249
8,0.10091236603434262
89,0.09783928644943185
52,0.19881214653295043
1,0.3563893932541987
83,0.5327335685966218
91,0.48554199805410736
59,0.8531684871920532
70,0.14223198707676998
43,0.6975727221985694
7,0.5488865852183967
46,0.736824823162222
34,0.3419464268291038
77,0.47137962872787786
80,0.028592989186067452
35,0.1161059090769796
49,0.37499561196183173
3,0.48125474111512123
1,0.08574689306431305
5,0.8249882491273057
53,0.9460523623335819
3,0.5963974778466019
53,0.05340192121671372
92,0.7388262242378112
62,0.21716371228567544
17,0.7336516921027629
89,0.43434601513412974
43,0.05342665624479859
33,0.27874893915616095
73,0.4270299601242763
61,0.7362503416434524
99,0.1330692818300303
13,0.2870016773280005
94,0.08353728090385792
47,0.6158069879694748
14,0.47427149892779785
71,0.9290049453730386
77,0.7405530031734158
86,0.7778873625609608
61,0.16439257535675078
39,0.26662252051269
84,0.5131395433859427
79,0.013484500884021977
81,0.8701281436025357
52,0.7777403819938509
23,0.05793968519521586
25,0.8490339119731114
88,0.00448811481815814
59,0.11421931853818779
40,0.05536455295769016
28,0.4791599318407075
14,0.7840497799188944
44,0.17853916183849006
64,0.7714864611358258
88,0.18492478216061792
70,0.9905363395376637
8,0.8534745343000616
87,0.7371867738230871
0,0.5916884230915417
7,0.24254819693828733
87,0.11926762198228025
62,0.4603067520048578
10,0.4026602542386569
80,0.6744809230266529
7,0.17008975134011417
34,0.5621284670341204
34,0.6933502141503236
32,0.29896625870661053
4,0.7800142710819632
40,0.43184287352130235
27,0.16263109587770008
6,0.19477004696809974
72,0.2788984119033826
71,0.15812626936165153
11,0.5629195667366262
33,0.9491411741951696
32,0.8960730792338101
47,0.32375398398344046
22,0.8646693217305892
61,0.9540229614500529
87,0.2941671403331172
36,0.9052848799681018
98,0.9974290643408749
43,0.797671809497841
85,0.3902233199791548
90,0.608541604594226
34,0.36418664913562826
64,0.9959612833537467
98,0.06785323770460527
46,0.893080325069653
77,0.074548133242472
2,0.04219782282403395
0,0.9399395165335463
4,0.8672819374552915
89,0.36156174528279905
13,0.9575321883179834
26,0.861856877663604
8,0.9019828757554713
78,0.5951154862586242
14,0.9583285362176073
89,0.8095822077385403
41,0.9399528604370613
76,0.2815109354140355
50,0.5320975673330217
62,0.8676628291486751
95,0.5797290408667019
51,0.8010983600506613
95,0.9730969676234474
3,0.804562834113487
93,0.315359620611677
22,0.11869938961420745
14,0.27274682578122067
42,0.6627911215994915
28,0.010944361314822681
35,0.18971872709583348
12,0.3269026451445599
31,0.8752249436281742
70,0.05100414838744938
58,0.04993615982387678
85,0.5517825483693102
27,0.1777662522056952
65,0.2422151801589042
41,0.18423610097934773
44,0.5816071375969297
61,0.05554774960666953
56,0.9400000286295577
5,0.12313838541282829
27,0.9515955021621139
27,0.7781290304642634
43,0.8280158862261121
83,0.17280823448560156
29,0.6696470869545915
61,0.8170721512964564
74,0.5580355400503813
91,0.5510747079043932
88,0.15941333650085454
61,0.41423249960356623
96,0.1505399601266335
0,0.9728577587102688
26,0.6848500086304599
61,0.048421925730864124
76,0.4767679134133812
2,0.6379641500339375
69,0.0956403808313977
71,0.6649885753298778
26,0.17730524582110752
8,0.4078794048602129
61,0.6255540552717033
36,0.3650541210535889
96,0.38088419745413526
50,0.8436152997646714
43,0.30926484167015056
23,0.6551943239238213
78,0.849152660246981
58,0.15264918280132556
31,0.045927979002509334
95,0.8255340437806525
87,0.5511307916291835
51,0.8277012989039136
61,0.2130356339900955
57,0.8326322229183856
51,0.09531041391479922
11,0.8832030341481735
38,0.8225336628857866
1,0.5673347329465791
2,0.6083398929991
55,0.34584419675811706
80,0.20161615436012847
58,0.4554380922149268
1,0.6574521147910246
1,0.9984648598946629
91,0.81725306590194
53,0.43430783666038053
86,0.7432478528619959
95,0.10804750268884866
96,0.4150360469545875
0,0.42492458204275585
18,0.9988238112132406
1,0.3910149639426913
52,0.0832816028997646
43,0.06722795141592464
89,0.6983843849314885
31,0.28909308959640967
69,0.8689134476571722
31,0.4829476936536209
67,0.33037238460407203
54,0.7591144997538712
74,0.41753251147783244
55,0.7373833274759604
16,0.7140919310178846
37,0.7232114389413725
23,0.8571218722868712
68,0.848399397502638
97,0.6646082503659578
69,0.9569618719323132
85,0.020727488989460308
10,0.9304229109365174
15,0.14825342033340905
96,0.21164306869159666
72,0.8173990490178854
58,0.40043548267608464
69,0.42531044222764525
79,0.26122696110903
92,0.22444119491544035
2,0.10624045482499866
19,0.19677122046261775
58,0.566746347446833
35,0.7066088822241176
18,0.7388392763085787
89,0.370123195540042
66,0.9219547763171375
18,0.3287280566471915
19,0.11113664339848672
95,0.9452227690121288
70,0.5406771412477864
51,0.9713762221157647
32,0.39366655318310717
